"","V1","V2","V3"
"1",4.75,4.2,1.66
"2",1.9,3.75,3.75
"3",2.75,3.75,2.37
"4",2.5,3.4,2.8
"5",1.95,3.75,3.75
"6",1.08,13,19
"7",1.5,4.5,6
"8",8.5,5.5,1.33
"9",5.5,4.6,1.53
"10",2.75,3.4,2.55
"11",4.5,4,1.72
"12",6,4.75,1.44
"13",2,3.75,3.5
"14",2.75,3.6,2.4
"15",1.14,8,15
"16",1.33,5.5,7.5
"17",3.6,3.5,2.05
"18",2.37,3.25,3
"19",2.7,3.5,2.45
"20",1.8,3.75,4.33
"21",3.1,3,2.45
"22",6.5,5.25,1.4
"23",1.7,3.8,4.75
"24",2.05,3.2,3.75
"25",2.5,3.4,2.7
"26",2.25,3,3.5
"27",3.75,2.9,2.2
"28",2.25,3.4,3.1
"29",5.75,4.33,1.53
"30",1.22,7,11
"31",1.66,3.9,5
"32",5,4,1.65
"33",1.9,3.5,4
"34",2.1,3.75,3.25
"35",1.95,3.1,4.33
"36",1.53,4.5,5.75
"37",2.62,3.6,2.55
"38",1.65,4.2,5
"39",13,7.5,1.16
"40",1.16,7.5,13
"41",1.7,4.2,4.5
"42",3.2,3.4,2.25
"43",3.2,3,2.4
"44",3,3,2.6
"45",2.7,3.6,2.5
"46",1.44,4.75,6.5
"47",1.25,6.5,10
"48",1.22,6,12
"49",1.36,5.25,7.5
"50",5,3.25,1.8
"51",2.8,3.5,2.45
"52",3.1,3.2,2.4
"53",2.8,2.9,2.87
"54",3,3.4,2.37
"55",3.4,3.6,2.05
"56",3.6,3.5,2.05
"57",1.95,3.5,3.8
"58",1.25,6,10
"59",2.7,3.8,2.37
"60",1.95,3.75,3.75
"61",5.25,4.33,1.57
"62",1.57,4.2,5.5
"63",2.6,3.5,2.62
"64",9.5,6.5,1.25
"65",2.25,3.8,2.9
"66",5.25,4,1.61
"67",2.1,3.25,3.75
"68",3.6,3.4,2.1
"69",1.8,3.4,5
"70",2.2,3.25,3.5
"71",2.45,3.2,3
"72",1.9,3.25,4.5
"73",3.3,3.1,2.37
"74",6,4.5,1.5
"75",1.9,3.5,4
"76",1.33,5.5,8
"77",6,4.2,1.55
"78",1.36,4.75,9
"79",4.1,4.2,1.75
"80",2.6,3.3,2.7
"81",1.5,4.33,6.5
"82",5.25,4.2,1.6
"83",1.12,9,15
"84",6,4.33,1.53
"85",2.37,2.9,3.3
"86",3,3.25,2.45
"87",2.6,3.5,2.62
"88",2.7,3.4,2.55
"89",1.12,9,19
"90",1.4,4.4,9
"91",4.6,3.7,1.75
"92",1.5,4,7.5
"93",7,5.75,1.36
"94",1.25,6.5,10
"95",1.7,4.5,4.1
"96",1.33,5.75,8
"97",1.3,5.75,9
"98",1.8,4,4.2
"99",4,3.6,1.9
"100",1.57,4.2,5.25
"101",4.33,4.33,1.7
"102",5.25,4.2,1.61
"103",3,3.4,2.37
"104",2.25,3,3.6
"105",2.3,3.3,3.1
"106",1.61,4,5.5
"107",1.33,4.75,11
"108",2.62,3.3,2.62
"109",2.25,3.25,3.2
"110",2.7,3.5,2.5
"111",2.5,3.3,2.87
"112",2.37,3,3.25
"113",1.28,6,10
"114",2.3,3.5,3
"115",2.5,3.25,2.9
"116",7,4.5,1.44
"117",6.5,3.8,1.57
"118",6.5,4.75,1.44
"119",2.5,3,3.1
"120",4.2,3.4,1.95
"121",2.3,3.1,3.3
"122",1.85,3.5,4.2
"123",2.1,3.6,3.3
"124",2.05,3.9,3.3
"125",1.57,4,6
"126",1.36,4.75,8.5
"127",1.28,5.25,11
"128",5,3.9,1.7
"129",2.6,3.3,2.75
"130",2.7,2.9,2.9
"131",1.5,4.2,7
"132",1.33,5.5,8.5
"133",3.1,2.9,2.55
"134",5.5,4,1.61
"135",5.25,4.75,1.53
"136",3.1,3.3,2.37
"137",1.85,3.6,4.2
"138",2.25,3.3,3.25
"139",2.9,3.4,2.45
"140",2.1,3.5,3.4
"141",1.44,4.33,8
"142",8.5,4.5,1.4
"143",1.7,3.75,5
"144",2,3.2,4.2
"145",8,5.25,1.36
"146",2.3,3.5,3
"147",3.5,3.3,2.15
"148",4.2,3.2,2
"149",2.6,3,2.87
"150",2.05,3.4,3.5
"151",1.14,8,19
"152",5.25,3.8,1.66
"153",2.05,3.5,3.6
"154",2.45,3,3.1
"155",2.05,3.6,3.3
"156",3.4,3.3,2.2
"157",9,5.25,1.33
"158",4.5,3.75,1.75
"159",3.1,3,2.45
"160",3.5,3,2.25
"161",2.3,3.25,3.1
"162",1.3,5.5,10
"163",1.45,4.5,6.5
"164",6.5,4.5,1.45
"165",1.12,9.5,17
"166",1.14,8.5,17
"167",4.5,3.3,1.9
"168",1.14,8.5,17
"169",4.6,3.8,1.75
"170",1.44,4.75,6.5
"171",4.5,3.8,1.75
"172",1.9,3.6,3.8
"173",3.8,3.8,1.9
"174",3.6,3.75,1.95
"175",1.6,4.2,5
"176",5.25,4.2,1.57
"177",3.6,3.6,1.95
"178",2.1,3.1,3.8
"179",1.8,3.4,4.75
"180",1.14,8,17
"181",1.61,4,5.25
"182",3.6,2.9,2.25
"183",2.05,3.4,3.5
"184",2.3,3.3,3.1
"185",1.45,4.75,6
"186",2.37,3.3,2.9
"187",1.53,4,6
"188",2,3.5,3.75
"189",2.05,3.25,3.9
"190",9.5,4.75,1.36
"191",2.15,3.3,3.5
"192",2.1,3.5,3.4
"193",8.5,5,1.33
"194",3.2,3.4,2.25
"195",5.5,4.33,1.53
"196",2.62,3.3,2.62
"197",1.53,4,6
"198",1.95,3,4.5
"199",5,3.8,1.66
"200",2,3.5,3.4
"201",2.62,3.8,2.35
"202",5,3.8,1.66
"203",1.75,3.75,4.2
"204",1.9,3.4,4
"205",1.9,3.4,4.33
"206",2.2,3.25,3.5
"207",1.5,4,7.5
"208",1.22,6.5,11
"209",5.5,4.2,1.55
"210",2,3.75,3.5
"211",1.45,4.5,6.5
"212",1.75,4,4.1
"213",2.5,3.2,2.87
"214",8.5,5,1.36
"215",2.37,3.25,3
"216",5.25,3.75,1.65
"217",1.45,4.33,7
"218",2.87,3.9,2.25
"219",3.3,3.8,2.05
"220",5,4.2,1.61
"221",1.55,4.5,5.5
"222",1.9,3.8,3.8
"223",2.37,3.4,3
"224",1.85,3.8,4
"225",6,4.2,1.55
"226",2.25,3.7,3
"227",3.25,3.5,2.2
"228",1.08,11,26
"229",7.5,5.25,1.36
"230",2.15,3.5,3.3
"231",3,3.6,2.3
"232",2.4,3.6,2.8
"233",3.75,3.5,2
"234",1.61,4.2,5
"235",5.75,4.33,1.53
"236",3.4,3.6,2.05
"237",1.25,6,11
"238",8,5.5,1.33
"239",2.05,3.75,3.4
"240",1.16,7.5,15
"241",4.75,4,1.66
"242",2.4,3.4,2.9
"243",2.3,3.7,2.87
"244",1.53,4.2,5.75
"245",6,4.2,1.53
"246",2,3.6,3.5
"247",4.5,4,1.7
"248",6.5,5,1.4
"249",1.33,5.75,7.5
"250",2.3,3.75,2.75
"251",2.7,4.2,2.2
"252",2.8,3.8,2.3
"253",6.5,4.75,1.44
"254",2.15,4,2.9
"255",1.5,4.5,6
"256",1.5,4.6,5.75
"257",1.9,4.2,3.4
"258",2.25,3,3.75
"259",2.7,3.1,2.8
"260",2.3,3.2,3.3
"261",1.9,3.4,4.33
"262",2.3,3.2,3.3
"263",1.28,5.75,9
"264",2,3.3,3.8
"265",2.2,3.3,3.3
"266",3,3.1,2.45
"267",2.25,3.1,3.4
"268",3.75,3.4,2
"269",1.95,3.2,4.2
"270",3,3.5,2
"271",4.5,3.6,1.83
"272",3.1,3.25,2.37
"273",2.5,3.25,2.9
"274",2.2,3.3,3.4
"275",2.75,3.1,2.75
"276",2.2,3.2,3.5
"277",2.15,3.4,3.4
"278",2.8,3.2,2.6
"279",2.8,3.2,2.6
