Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Atlético Madrid,15,11,3,1,30,9,+21,36,2.40,19.2,13.1,+6.1,+0.43,13,9,3,1,21,9,+12,30,2.31,16.8,9.4,+7.4,+0.57
2,Barcelona,14,9,4,1,36,14,+22,31,2.21,34.7,16.8,+18.0,+1.28,14,10,1,3,31,10,+21,31,2.21,22.9,12.5,+10.4,+0.80
3,Real Madrid,13,9,1,3,23,9,+14,28,2.15,19.1,11.9,+7.2,+0.56,15,9,5,1,26,14,+12,32,2.13,26.8,15.2,+11.6,+0.77
4,Sevilla,14,10,1,3,22,9,+13,31,2.21,20.2,11.8,+8.4,+0.60,14,7,3,4,17,12,+5,24,1.71,15.2,13.6,+1.7,+0.12
5,Real Sociedad,14,6,5,3,24,16,+8,23,1.64,25.3,9.0,+16.3,+1.26,14,6,4,4,20,12,+8,22,1.57,20.7,12.7,+8.0,+0.57
6,Betis,14,8,2,4,21,17,+4,26,1.86,20.3,16.1,+4.2,+0.30,14,6,1,7,17,24,-7,19,1.36,15.1,18.8,-3.6,-0.26
7,Villarreal,14,6,6,2,20,15,+5,24,1.71,20.9,9.5,+11.4,+0.87,14,4,7,3,19,16,+3,19,1.36,18.7,17.0,+1.7,+0.12
8,Granada,14,8,3,3,20,16,+4,27,1.93,14.3,12.2,+2.2,+0.16,14,2,3,9,14,30,-16,9,0.64,13.2,25.4,-12.3,-0.88
9,Athletic Club,14,7,3,4,23,13,+10,24,1.71,19.4,10.7,+8.7,+0.62,14,2,5,7,15,19,-4,11,0.79,14.4,16.0,-1.6,-0.11
10,Levante,14,5,7,2,21,17,+4,22,1.57,18.1,17.0,+1.1,+0.08,14,3,4,7,15,20,-5,13,0.93,14.9,23.5,-8.6,-0.61
11,Celta Vigo,14,6,3,5,20,22,-2,21,1.50,19.9,18.6,+1.3,+0.09,14,2,7,5,15,21,-6,13,0.93,14.3,14.2,+0.1,+0.01
12,Valencia,14,6,5,3,22,16,+6,23,1.64,18.0,19.5,-1.5,-0.10,14,2,4,8,12,22,-10,10,0.71,14.2,19.4,-5.2,-0.37
13,Osasuna,14,4,4,6,13,19,-6,16,1.14,12.8,19.0,-6.1,-0.44,14,3,5,6,10,16,-6,14,1.00,13.6,16.9,-3.3,-0.24
14,Getafe,15,5,5,5,13,10,+3,20,1.33,9.0,11.3,-2.4,-0.17,13,2,3,8,9,23,-14,9,0.69,11.7,20.7,-9.1,-0.70
15,Cádiz,14,3,4,7,12,22,-10,13,0.93,12.8,18.9,-6.0,-0.43,14,4,4,6,12,22,-10,16,1.14,11.4,17.4,-6.1,-0.47
16,Valladolid,14,3,5,6,15,22,-7,14,1.00,15.3,19.3,-4.0,-0.28,14,2,7,5,11,16,-5,13,0.93,11.4,17.8,-6.4,-0.46
17,Elche,13,3,6,4,13,18,-5,15,1.15,10.6,23.2,-12.6,-0.97,15,2,4,9,12,24,-12,10,0.67,9.2,21.7,-12.5,-0.89
18,Eibar,14,1,6,7,8,17,-9,9,0.64,16.0,15.4,+0.5,+0.04,14,3,5,6,14,16,-2,14,1.00,15.4,20.9,-5.5,-0.39
19,Alavés,14,3,5,6,11,17,-6,14,1.00,15.0,17.5,-2.5,-0.18,14,2,3,9,12,27,-15,9,0.64,12.9,21.3,-8.4,-0.64
20,Huesca,14,2,6,6,12,18,-6,12,0.86,12.8,16.6,-3.8,-0.27,14,1,6,7,14,26,-12,9,0.64,14.5,19.3,-4.8,-0.35
