nom1,nom,Nation,Pos,equip,Born,partits,minuts,gls,xg,ast,xa,ong,onga,CmpS,CmpS_perc,CmpM,CmpM_perc,CmpL,CmpL_perc,KP,Last13,PPA,CrsPA,SoT_perc,Sh90,tklw,int
Aaron Connolly,Aaron-Connolly,ie IRL,FW,Brighton,2000.0,39,1980,0.2206883789785344,0.2780977054034049,0.08336047372316803,0.02,1.3461139896373058,1.6528349370836417,5.320909090909091,82.38181818181818,2.497272727272727,81.75454545454545,0.5,69.56363636363636,0.45545454545454545,0.3645454545454545,0.13636363636363635,0.0,35.618181818181824,2.683636363636364,0.5918181818181818,0.2290909090909091
Aaron Cresswell,Aaron-Cresswell,eng ENG,DF,West Ham,1989.0,60,5337,0.06715741789354474,0.036715741789354474,0.07882219705549263,0.08955832389580974,1.4156851642129107,1.5256398640996602,19.226306913996627,90.22192242833053,16.529173693086005,81.44519392917371,5.816458684654301,45.31669477234402,1.112107925801012,3.945834738617201,0.6762057335581788,0.44131534569983144,26.430691399662734,0.5704384485666104,0.6910286677908938,0.6956155143338955
Aarón Escandell,Aaron-Escandell,es ESP,GK,Granada,1995.0,3,270,0.0,0.0,0.0,0.0,1.0,1.0,3.33,100.0,9.67,100.0,12.7,42.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Hickey,Aaron-Hickey,sco SCO,DF,Bologna,2002.0,11,758,0.0,0.01,0.0,0.04,1.55,1.9,17.0,91.1,19.0,85.6,3.81,66.7,0.48,2.86,0.48,0.12,33.3,0.36,0.71,1.43
Aaron Lennon,Aaron-Lennon,eng ENG,MF,Burnley,1987.0,16,496,0.0,0.0,0.0,0.02,0.55,2.73,9.82,83.1,5.27,82.9,1.09,35.3,0.36,1.09,0.36,0.18,0.0,0.18,1.64,1.45
Aaron Leya Iseka,Aaron-Leya-Iseka,be BEL,FW,Toulouse,1997.0,39,1533,0.31256880733944953,0.5270642201834862,0.0,0.036513761467889906,0.6625688073394495,2.3022935779816516,9.101411764705881,81.08352941176472,4.002235294117647,71.55529411764707,0.7628235294117647,58.51529411764706,0.7071764705882352,1.0576470588235292,0.2349411764705882,0.0,32.64235294117647,2.3515294117647056,0.47129411764705886,0.2349411764705882
Aarón Martín,Aaron-Martin,es ESP,DF,Mainz 05,1997.0,36,2849,0.0,0.01,0.0,0.13611623143881207,1.319326676907322,2.187007168458781,17.65759493670886,90.78006329113923,15.252848101265823,78.23417721518987,4.051550632911392,44.154430379746834,1.2655696202531646,2.0562658227848107,0.8827848101265824,0.5685443037974685,48.81867088607596,0.3452215189873418,0.5996835443037974,0.8528164556962026
Aaron Mooy,Aaron-Mooy,au AUS,MFFW,Brighton,1990.0,31,2085,0.09,0.09,0.09,0.15,0.82,1.34,18.9,89.4,11.7,83.7,4.18,48.5,1.68,3.45,1.34,0.3,24.2,1.42,1.34,0.78
Aaron Ramsdale,Aaron-Ramsdale,eng ENG,GK,Bournemouth,1998.0,66,5940,0.0,0.0,0.020842105263157894,0.0,0.9182105263157896,1.6922105263157892,2.3190909090909093,98.35303030303031,5.532727272727272,98.28030303030303,7.821060606060607,35.9560606060606,0.041212121212121214,0.9398484848484848,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,Aaron-Ramsey,wal WAL,MF,Juventus,1990.0,42,2028,0.2339900166389351,0.2917737104825291,0.18103494176372711,0.19527121464226288,2.423793677204659,0.9942362728785359,29.065044247787608,90.14469026548672,19.20221238938053,88.63318584070797,4.247566371681416,69.5725663716814,1.9499557522123894,4.821769911504425,1.1052212389380531,0.18163716814159292,39.18407079646017,2.174955752212389,1.5476548672566373,0.6638938053097345
Aaron Wan-Bissaka,Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,1997.0,62,5500,0.021450189155107192,0.029999999999999995,0.10467843631778058,0.07080706179066835,1.8837074401008826,0.9791929382093316,29.20932896890344,91.40703764320786,17.816366612111292,83.59558101472996,2.0964975450081833,50.88379705400982,0.7334860883797054,2.9464975450081834,0.6253518821603928,0.29441898527004906,25.152373158756134,0.26000000000000006,1.8039443535188215,1.5062847790507363
Abdallah Ndour,Abdallah-Ndour,sn SEN,DF,Strasbourg,1993.0,6,373,0.0,0.0,0.0,0.06,0.24,0.98,16.1,84.6,14.1,77.3,6.83,58.3,1.46,1.22,2.44,2.2,0.0,0.0,0.98,0.98
Abdallahi Mahmoud,Abdallahi-Mahmoud,mr MTN,MF,Alavés,2000.0,5,218,0.0,0.0,0.0,0.0,0.7852112676056338,1.6833098591549296,7.925416666666667,70.41666666666667,4.582916666666667,64.95416666666668,0.8349999999999999,100.0,0.0,1.2529166666666667,0.0,0.0,0.0,0.0,2.916666666666667,2.4987500000000002
Abdelhamid Sabiri,Abdelhamid-Sabiri,de GER,MF,Paderborn 07,1996.0,24,1048,0.34,0.23,0.09,0.03,1.29,2.24,13.2,86.9,10.3,85.6,5.78,66.3,0.6,3.45,0.26,0.0,36.8,3.26,1.47,0.69
Abdón Prats,Abdon-Prats,es ESP,FWMF,Mallorca,1992.0,20,279,0.0,0.44,0.0,0.03,0.32,2.26,9.03,84.8,2.9,50.0,2.26,58.3,0.65,1.29,0.0,0.0,44.4,2.9,0.0,0.0
Abdou Diallo,Abdou-Diallo,fr FRA,DF,Paris S-G,1996.0,34,2412,0.0,0.043287330941208936,0.07,0.016685067623516424,2.267319900634833,0.6499171956941762,25.85410447761194,95.5992537313433,34.58358208955224,96.00671641791044,9.85,83.28283582089553,0.14940298507462688,5.226902985074627,0.26414179104477614,0.039701492537313435,19.850746268656717,0.29444029850746267,0.8557835820895523,0.6352611940298507
Abdoul Kader Bamba,Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,1994.0,53,2327,0.12740426867545512,0.16583490269930948,0.15843063402385435,0.25764595103578153,1.1376459510357815,1.2239830508474576,19.247674418604653,88.27906976744185,12.0,80.60116279069769,2.517790697674419,46.87403100775193,2.2858139534883724,2.1304651162790695,1.2395348837209303,0.2731782945736434,46.95813953488372,1.2336434108527132,1.1210077519379846,0.9722480620155038
Abdoulay Diaby,Abdoulay-Diaby,ml MLI,MF,Getafe,1991.0,1,18,0.0,1.69,0.0,0.53,10.0,5.0,20.0,80.0,5.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Abdoulaye Bamba,Abdoulaye-Bamba,ci CIV,DF,Angers,1990.0,21,1721,0.0,0.0,0.0,0.04595914127423823,1.3287742382271468,0.8760041551246536,20.442708333333336,91.60312500000002,16.898958333333333,79.32291666666667,3.4348958333333335,40.60208333333333,0.520625,2.4495833333333334,0.5705208333333333,0.25906250000000003,67.70833333333334,0.10583333333333333,1.091875,0.8345833333333335
Abdoulaye Doucouré,Abdoulaye-Doucoure,fr FRA,MF,Watford,1993.0,62,5287,0.10138177406308979,0.1298908061472095,0.08010919385279051,0.08287274197897007,1.0807643569695335,1.6279630628201671,18.685204081632655,85.4734693877551,15.44795918367347,85.42448979591838,3.6595918367346947,71.62448979591838,0.851326530612245,3.1136734693877552,0.851326530612245,0.0817857142857143,25.002551020408163,1.3105102040816328,1.432244897959184,0.8516836734693877
Abdoulaye Sidibé,Abdoulaye-Sidibe,fr FRA,MF,Saint-Étienne,2002.0,1,11,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Abdoulaye Sylla,Abdoulaye-Sylla,gn GUI,DF,Nantes,2000.0,2,8,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,20.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
