,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2020-09-18,20:30,Bayern Munich,5.1,8,0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Match Report,
1,1.0,Sat,2020-09-19,15:30,Köln,2.1,2,3,3.1,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,Match Report,
2,1.0,Sat,2020-09-19,15:30,Eint Frankfurt,1.6,1,1,1.0,Arminia,6500.0,Commerzbank-Arena,Benjamin Brand,Match Report,
3,1.0,Sat,2020-09-19,15:30,Werder Bremen,1.0,1,4,2.1,Hertha BSC,8400.0,Weserstadion,Sascha Stegemann,Match Report,
4,1.0,Sat,2020-09-19,15:30,Union Berlin,1.3,1,3,1.1,Augsburg,4600.0,Stadion An der Alten Försterei,Marco Fritz,Match Report,
5,1.0,Sat,2020-09-19,15:30,Stuttgart,3.1,2,3,2.0,Freiburg,7123.0,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
6,1.0,Sat,2020-09-19,18:30,Dortmund,1.6,3,0,0.6,MGladbach,9300.0,Signal Iduna Park,Felix Brych,Match Report,
7,1.0,Sun,2020-09-20,15:30,RB Leipzig,2.8,3,1,1.2,Mainz 05,8500.0,Red Bull Arena,Manuel Gräfe,Match Report,
8,1.0,Sun,2020-09-20,18:00,Wolfsburg,1.0,0,0,0.7,Leverkusen,,Volkswagen Arena,Sven Jablonski,Match Report,
9,,,,,,,NA,NA,,,,,,,
10,2.0,Fri,2020-09-25,20:30,Hertha BSC,1.1,1,3,1.7,Eint Frankfurt,4000.0,Olympiastadion Berlin,Bastian Dankert,Match Report,
11,2.0,Sat,2020-09-26,15:30,Mainz 05,1.2,1,4,2.7,Stuttgart,3403.0,Opel Arena,Daniel Schlager,Match Report,
12,2.0,Sat,2020-09-26,15:30,Arminia,0.2,1,0,0.9,Köln,5460.0,SchücoArena,Patrick Ittrich,Match Report,
13,2.0,Sat,2020-09-26,15:30,MGladbach,1.3,1,1,0.9,Union Berlin,10383.0,Stadion im Borussia-Park,Tobias Stieler,Match Report,
14,2.0,Sat,2020-09-26,15:30,Leverkusen,0.8,1,1,0.8,RB Leipzig,6042.0,BayArena,Harm Osmers,Match Report,
15,2.0,Sat,2020-09-26,15:30,Augsburg,1.0,2,0,1.7,Dortmund,6000.0,WWK Arena,Martin Petersen,Match Report,
16,2.0,Sat,2020-09-26,18:30,Schalke 04,1.2,1,3,2.4,Werder Bremen,,Veltins-Arena,Markus Schmidt,Match Report,
17,2.0,Sun,2020-09-27,15:30,Hoffenheim,4.0,4,1,1.6,Bayern Munich,,PreZero Arena,Benjamin Brand,Match Report,
18,2.0,Sun,2020-09-27,18:00,Freiburg,1.5,1,1,0.6,Wolfsburg,3200.0,Schwarzwald-Stadion,Sören Storks,Match Report,
19,,,,,,,NA,NA,,,,,,,
20,3.0,Fri,2020-10-02,20:30,Union Berlin,1.9,4,0,0.2,Mainz 05,4400.0,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
21,3.0,Sat,2020-10-03,15:30,Stuttgart,0.8,1,1,1.4,Leverkusen,9500.0,Mercedes-Benz Arena,Robert Hartmann,Match Report,
