Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Manchester City,16,12,2,2,36,13,+23,38,2.38,32.5,13.3,+19.2,+1.20,14,10,3,1,28,8,+20,33,2.36,25.7,10.4,+15.3,+1.09
2,Manchester Utd,14,7,3,4,29,19,+10,24,1.71,23.6,16.0,+7.6,+0.54,15,9,6,0,27,13,+14,33,2.20,22.0,18.1,+3.9,+0.26
3,Leicester City,14,7,1,6,25,19,+6,22,1.57,21.0,18.4,+2.6,+0.19,15,10,4,1,28,13,+15,34,2.27,23.0,16.1,+6.9,+0.46
4,Chelsea,14,7,5,2,25,11,+14,26,1.86,25.5,12.7,+12.9,+0.92,15,7,4,4,19,14,+5,25,1.67,20.6,11.8,+8.8,+0.58
5,West Ham,15,8,4,3,26,18,+8,28,1.87,20.0,19.2,+0.8,+0.06,14,6,3,5,19,17,+2,21,1.50,20.3,14.6,+5.8,+0.41
6,Tottenham,14,7,3,4,25,14,+11,24,1.71,20.3,15.9,+4.4,+0.32,15,7,3,5,24,16,+8,24,1.60,17.2,17.3,-0.1,-0.01
7,Liverpool,15,7,2,6,22,18,+4,23,1.53,27.4,17.7,+9.7,+0.65,14,6,5,3,26,18,+8,23,1.64,24.4,17.9,+6.5,+0.46
8,Everton,14,5,2,7,19,22,-3,17,1.21,17.0,21.3,-4.3,-0.31,14,9,2,3,21,15,+6,29,2.07,16.5,17.5,-1.0,-0.07
9,Arsenal,14,6,3,5,18,15,+3,21,1.50,18.4,16.7,+1.7,+0.12,15,6,3,6,22,17,+5,21,1.40,22.6,18.3,+4.3,+0.28
10,Aston Villa,13,5,2,6,20,18,+2,17,1.31,20.4,15.7,+4.8,+0.40,15,7,3,5,19,12,+7,24,1.60,19.1,18.8,+0.3,+0.02
11,Leeds United,14,5,3,6,19,17,+2,18,1.29,21.3,18.8,+2.5,+0.18,15,7,0,8,26,30,-4,21,1.40,22.1,29.3,-7.2,-0.48
12,Crystal Palace,15,5,5,5,15,21,-6,20,1.33,10.3,19.0,-8.7,-0.58,14,5,2,7,16,26,-10,17,1.21,12.9,23.7,-10.7,-0.77
13,Wolves,14,5,4,5,15,15,0,19,1.36,17.0,14.3,+2.7,+0.20,15,4,4,7,13,23,-10,16,1.07,13.0,19.6,-6.7,-0.44
14,Southampton,14,5,2,7,18,18,0,17,1.21,13.4,15.0,-1.6,-0.11,15,4,4,7,18,33,-15,16,1.07,16.0,23.4,-7.4,-0.49
15,Burnley,15,4,6,5,12,16,-4,18,1.20,14.9,19.3,-4.4,-0.29,14,4,3,7,10,21,-11,15,1.07,12.0,23.5,-11.5,-0.82
16,Brighton,15,2,7,6,16,19,-3,13,0.87,25.3,11.3,+14.0,+0.93,14,5,4,5,16,17,-1,19,1.36,15.4,17.2,-1.8,-0.13
17,Newcastle Utd,14,4,4,6,17,23,-6,16,1.14,15.8,15.9,-0.1,-0.01,15,3,3,9,11,25,-14,12,0.80,10.6,23.9,-13.2,-0.88
18,Fulham,16,2,4,10,9,23,-14,10,0.63,15.3,21.3,-6.1,-0.38,14,3,7,4,14,15,-1,16,1.14,17.7,18.6,-0.9,-0.06
19,West Brom,15,2,5,8,9,33,-24,11,0.73,11.0,26.5,-15.5,-1.03,14,1,4,9,11,24,-13,7,0.50,9.9,21.7,-11.8,-0.85
20,Sheffield Utd,15,3,1,11,10,22,-12,10,0.67,14.3,22.8,-8.5,-0.57,14,1,1,12,6,28,-22,4,0.29,10.2,23.2,-13.1,-0.93
