nom1,nom,Nation,Pos,equip,Born,partits,minuts,ga90,save
Aarón Escandell,Aaron-Escandell,es ESP,GK,Granada,1995.0,3,270,1.0,0.769
Aaron Ramsdale,Aaron-Ramsdale,eng ENG,GK,Bournemouth,1998.0,66,5940,1.6922105263157892,0.6819684210526316
Adrián,Adrian,es ESP,GK,Liverpool,1987.0,14,1145,1.4059010600706714,0.6206749116607774
Aitor Fernández,Aitor-Fernandez,es ESP,GK,Levante,1991.0,60,5400,1.405714285714286,0.7409999999999999
Alban Lafont,Alban-Lafont,fr FRA,GK,Nantes,1999.0,57,5130,1.2286206896551726,0.7084827586206897
Alberto Cifuentes,Alberto-Cifuentes,es ESP,GK,Cádiz,1979.0,2,180,1.5,0.5
Alberto Paleari,Alberto-Paleari,it ITA,GK,Genoa,1992.0,2,116,2.33,0.625
Alessio Cragno,Alessio-Cragno,it ITA,GK,Cagliari,1994.0,44,3960,1.4655555555555555,0.7475555555555555
Alex Cordaz,Alex-Cordaz,it ITA,GK,Crotone,1983.0,28,2520,2.5,0.594
Alex McCarthy,Alex-McCarthy,eng ENG,GK,Southampton,1989.0,53,4770,1.4647435897435896,0.6679230769230768
Alex Meret,Alex-Meret,it ITA,GK,Napoli,1997.0,34,3031,1.4937290197032351,0.6482880077839942
Álex Remiro,Alex-Remiro,es ESP,GK,Real Sociedad,1995.0,53,4770,1.18320987654321,0.6856913580246913
Alexander Nübel,Alexander-Nubel,de GER,GK,Schalke 04,1996.0,26,2315,1.56,0.684
Alexander Schwolow,Alexander-Schwolow,de GER,GK,Freiburg,1992.0,42,3711,1.501553179516038,0.7043680360157568
Alexandre Oukidja,Alexandre-Oukidja,dz ALG,GK,Metz,1988.0,54,4813,1.1129968236431431,0.7709465543433228
Alfred Gomis,Alfred-Gomis,sn SEN,GK,Dijon,1993.0,38,3330,1.2344642857142858,0.7423749999999999
Alisson,Alisson,br BRA,GK,Liverpool,1992.0,53,4703,0.8949774151245812,0.7207410753314877
Alphonse Areola,Alphonse-Areola,fr FRA,GK,Real Madrid,1993.0,36,3240,1.2073529411764705,0.755
Álvaro Fernández,Alvaro-Fernandez,es ESP,GK,Huesca,1998.0,16,1440,1.69,0.623
Andrea Consigli,Andrea-Consigli,it ITA,GK,Sassuolo,1987.0,57,5130,1.7449397590361446,0.6632650602409639
Andreas Luthe,Andreas-Luthe,de GER,GK,Augsburg,1987.0,33,2948,1.2655884707766214,0.6627389911929543
Andrés Fernández,Andres-Fernandez,es ESP,GK,Villarreal,1986.0,16,1440,1.7514285714285716,0.678142857142857
Ángel Jiménez,Angel-Jimenez,es ESP,GK,Granada,2002.0,1,90,2.0,0.857
Angelo da Costa Júnior,Angelo-da-Costa-Junior,br BRA,GK,Bologna,1983.0,7,630,1.2307692307692308,0.5886153846153847
Angus Gunn,Angus-Gunn,eng ENG,GK,Southampton,1996.0,10,900,2.5,0.5660000000000001
Anthony Lopes,Anthony-Lopes,pt POR,GK,Lyon,1990.0,56,5040,0.973953488372093,0.7310930232558139
Anthony Racioppi,Anthony-Racioppi,ch SUI,GK,Dijon,1998.0,21,1890,1.57,0.677
Antonio Adán,Antonio-Adan,es ESP,GK,Atlético Madrid,1987.0,1,25,0.0,1.0
Antonio Mirante,Antonio-Mirante,it ITA,GK,Roma,1983.0,16,1423,1.1949248747913188,0.7461214524207012
Antonio Rosati,Antonio-Rosati,it ITA,GK,Torino,1983.0,1,90,1.0,0.8
Antonio Sivera,Antonio-Sivera,es ESP,GK,Alavés,1996.0,3,270,1.0,0.5
Asmir Begović,Asmir-Begovic,ba BIH,GK,Milan,1987.0,2,129,2.09,0.667
Bailey Peacock-Farrell,Bailey-Peacock-Farrell,nir NIR,GK,Burnley,1996.0,1,90,5.0,0.28600000000000003
Baptiste Reynet,Baptiste-Reynet,fr FRA,GK,Toulouse,1990.0,53,4734,2.061041162227603,0.6140605326876513
Bartłomiej Drągowski,Bartlomiej-Dragowski,pl POL,GK,Fiorentina,1997.0,59,5263,1.4443446225439505,0.6901883402275077
Ben Foster,Ben-Foster,eng ENG,GK,Watford,1983.0,38,3420,1.68,0.6629999999999999
